BASEL_cloud_cover,BASEL_global_radiation,BASEL_humidity,BASEL_precipitation,BASEL_pressure,BASEL_sunshine,BASEL_temp_max,BASEL_temp_mean,BASEL_temp_min
7,0.32,0.85,0.09,1.018,0.7,10.9,6.5,0.8
6,0.36,0.84,1.05,1.018,1.1,10.1,6.1,3.3
8,0.18,0.9,0.3,1.018,0.0,9.9,8.5,5.1
3,0.58,0.92,0.0,1.018,4.1,10.6,6.3,3.8
6,0.65,0.95,0.14,1.018,5.4,6.0,3.0,-0.7
1,0.76,0.78,0.0,1.018,7.7,6.4,1.5,-1.8
3,0.66,0.87,0.0,1.018,5.4,6.1,-0.4,-4.5
8,0.19,0.95,0.09,1.018,0.0,2.6,0.9,-2.2
8,0.19,0.98,0.56,1.018,0.0,1.5,-2.4,-4.9
3,0.38,0.74,0.01,1.018,1.1,-3.4,-6.9,-10.6
3,0.72,0.8,0.39,1.018,6.2,-2.7,-7.6,-15.9
8,0.24,0.93,0.23,1.018,0.1,-4.7,-6.4,-7.8
7,0.59,0.82,0.0,1.018,3.7,-2.3,-10.4,-13.0
4,0.71,0.84,0.0,1.018,5.7,-8.2,-12.5,-19.2
6,0.48,0.89,0.0,1.018,2.0,-8.8,-12.7,-14.6
3,0.56,0.85,0.0,1.018,2.9,-5.0,-13.1,-17.9
8,0.38,0.82,0.0,1.018,0.8,-4.5,-6.7,-16.2
8,0.21,0.88,0.0,1.018,0.0,-1.9,-3.3,-6.4
6,0.62,0.75,0.14,1.018,3.5,1.4,-0.7,-3.9
8,0.51,0.69,0.14,1.018,2.0,6.4,3.7,-1.0
8,0.22,0.98,0.26,1.018,0.0,3.3,2.0,0.2
6,0.87,0.93,0.0,1.018,7.5,9.4,3.8,0.8
5,0.66,0.94,0.0,1.018,3.8,5.2,2.9,-0.5
6,0.65,0.8,0.22,1.018,3.5,10.3,6.6,1.9
8,0.23,0.98,0.57,1.018,0.0,7.9,6.0,4.6
7,0.23,0.96,0.35,1.018,0.0,7.2,5.1,1.0
8,0.24,0.96,0.09,1.018,0.0,8.5,6.2,4.4
8,0.3,0.84,0.0,1.018,0.1,10.3,7.1,4.4
7,0.56,0.67,0.0,1.018,1.9,7.2,4.8,3.4
5,0.97,0.76,0.0,1.018,7.8,9.9,3.3,0.3
3,0.74,0.77,0.0,1.018,3.9,7.6,2.5,-1.6
8,0.25,0.98,0.15,1.018,0.0,2.8,0.1,-2.7
4,0.77,0.89,0.0,1.018,4.1,9.6,3.2,0.3
5,0.45,0.8,0.0,1.018,0.7,6.4,2.9,-1.1
8,0.47,0.93,0.22,1.018,0.8,7.4,3.6,0.1
7,0.33,0.84,0.0,1.018,0.1,6.9,3.4,-0.1
7,0.51,0.92,0.15,1.018,1.0,5.1,1.6,-0.9
3,1.1,0.61,0.0,1.018,8.3,0.8,-4.1,-6.1
0,1.14,0.51,0.0,1.018,8.8,-2.3,-5.9,-9.1
0,1.14,0.63,0.0,1.018,8.5,-1.1,-5.4,-8.4
0,1.16,0.76,0.0,1.018,8.7,5.7,-2.7,-8.7
8,0.29,0.91,0.34,1.018,0.0,2.2,-0.4,-5.0
8,0.61,0.98,0.23,1.018,1.4,4.5,1.9,-0.3
8,0.62,0.75,0.05,1.018,1.4,6.9,2.7,0.1
5,0.81,0.69,0.03,1.018,3.1,7.7,2.8,0.4
7,0.81,0.55,0.04,1.018,3.0,7.4,5.1,-1.3
8,0.47,0.83,0.08,1.018,0.4,6.7,3.0,1.5
8,0.32,0.98,0.97,1.018,0.0,1.9,0.3,-0.6
8,0.32,0.99,0.66,1.018,0.0,1.2,-0.2,-1.8
5,0.33,0.95,0.0,1.018,0.0,3.2,1.7,-1.1
4,1.1,0.82,0.0,1.018,5.6,8.7,2.8,-2.2
4,1.18,0.68,0.0,1.018,6.5,12.8,5.9,0.7
8,0.83,0.83,0.04,1.018,2.5,11.5,4.9,1.2
8,0.61,0.87,0.44,1.018,0.8,8.5,5.2,1.9
8,1.15,0.8,0.0,1.018,5.6,10.6,6.4,2.3
8,0.66,0.85,0.97,1.018,1.0,11.5,7.8,4.2
8,0.84,0.82,0.06,1.018,2.2,12.0,7.3,4.6
7,0.57,0.93,0.12,1.018,0.5,14.6,9.0,4.1
4,1.09,0.78,0.0,1.018,4.3,17.6,10.1,3.8
8,0.78,0.7,0.39,1.018,1.5,16.8,10.7,6.0
5,1.07,0.79,0.0,1.018,3.4,14.1,8.2,6.8
8,0.41,0.92,0.49,1.018,0.0,7.7,6.4,3.9
8,0.42,0.88,0.23,1.018,0.0,10.6,8.9,5.0
7,1.04,0.74,0.0,1.018,2.9,11.6,7.5,5.5
5,0.81,0.84,0.04,1.018,1.3,10.1,6.2,3.7
3,1.59,0.7,0.0,1.018,7.7,10.0,4.3,1.3
8,0.44,0.87,0.92,1.018,0.0,5.1,0.8,-1.1
8,0.76,0.99,0.73,1.018,0.9,4.2,1.7,-0.5
8,0.45,0.93,0.75,1.018,0.0,5.3,3.0,1.2
5,1.7,0.78,0.0,1.018,8.2,13.6,7.6,2.1
6,1.32,0.78,0.18,1.018,4.4,14.9,7.4,2.3
1,1.85,0.76,0.0,1.018,9.4,15.5,8.4,2.8
2,1.8,0.65,0.0,1.018,8.6,17.1,9.2,0.8
3,1.5,0.67,0.0,1.018,5.5,17.7,8.9,0.7
7,0.49,0.88,0.0,1.018,0.0,10.4,5.8,1.0
7,0.49,0.88,0.05,1.018,0.0,10.5,7.1,2.0
8,0.5,0.85,0.0,1.018,0.0,7.8,4.3,2.7
8,0.9,0.75,0.0,1.018,1.1,5.7,3.6,1.5
8,0.6,0.77,0.0,1.018,0.1,6.5,3.0,-1.9
8,0.52,0.75,0.0,1.018,0.0,4.2,2.2,-0.2
5,1.38,0.69,0.0,1.018,3.8,7.2,2.9,1.3
0,2.14,0.72,0.0,1.018,10.4,14.8,6.5,-2.8
2,2.01,0.71,0.0,1.018,8.9,14.4,6.4,-2.1
5,1.96,0.61,0.0,1.018,8.2,18.0,10.6,2.2
7,0.83,0.63,0.0,1.018,0.6,17.1,11.4,6.5
3,1.96,0.74,0.0,1.018,7.9,19.6,10.6,5.2
3,1.68,0.76,0.0,1.018,5.4,18.2,10.2,5.5
6,2.18,0.68,0.0,1.018,9.7,19.9,12.0,2.4
8,0.57,0.86,1.47,1.018,0.0,13.2,9.9,8.2
5,1.31,0.78,0.0,1.018,2.6,14.6,8.8,6.2
7,1.56,0.81,0.12,1.018,4.1,15.5,9.6,5.2
8,0.74,0.88,0.34,1.018,0.2,12.9,8.8,6.7
4,2.29,0.72,0.0,1.018,9.9,16.8,10.7,6.3
5,2.03,0.67,0.0,1.018,7.4,19.5,10.9,2.6
4,1.97,0.72,0.0,1.018,6.8,15.7,8.6,4.8
0,2.52,0.63,0.0,1.018,11.6,20.0,11.1,2.2
1,2.57,0.62,0.0,1.018,11.9,22.7,12.0,3.6
1,2.55,0.59,0.0,1.018,11.5,24.6,13.6,4.1
6,1.21,0.69,0.0,1.018,1.6,20.3,12.1,5.0
6,1.46,0.68,0.04,1.018,2.8,22.3,14.5,8.0
2,2.57,0.69,0.0,1.018,11.2,21.8,13.7,6.5
7,0.75,0.85,0.48,1.018,0.1,14.3,8.6,6.7
5,1.77,0.74,0.0,1.018,4.5,14.8,6.5,4.4
2,2.59,0.68,0.01,1.018,10.9,19.7,9.5,1.4
7,0.66,0.91,0.05,1.018,0.0,12.2,8.6,6.3
6,2.12,0.69,0.0,1.018,6.7,14.6,7.1,0.8
7,1.37,0.78,0.3,1.018,2.0,11.6,6.6,1.8
8,0.79,0.78,0.0,1.018,0.1,9.1,6.7,1.8
8,0.69,0.87,0.0,1.018,0.0,8.6,7.1,6.2
5,0.8,0.93,0.0,1.018,0.1,13.6,8.7,6.2
3,2.15,0.77,0.0,1.018,6.5,20.3,11.6,4.5
3,2.04,0.64,0.0,1.018,5.6,20.9,13.6,2.7
3,2.65,0.65,0.0,1.018,10.2,17.9,11.2,4.8
8,1.69,0.75,0.0,1.018,3.3,14.2,8.5,1.7
5,2.58,0.7,0.19,1.018,9.4,16.6,8.7,1.8
4,2.49,0.57,0.0,1.018,8.6,11.4,6.2,3.6
7,1.2,0.76,0.31,1.018,1.0,9.2,3.9,-1.4
7,1.5,0.91,0.36,1.018,2.2,10.6,2.1,0.1
8,1.8,0.82,0.47,1.018,3.7,10.6,4.0,0.8
8,1.28,0.94,0.3,1.018,1.2,7.5,3.7,0.9
6,1.28,0.87,0.23,1.018,1.2,10.0,4.7,1.3
4,2.1,0.77,0.0,1.018,5.0,13.0,6.1,-1.1
4,2.23,0.72,0.0,1.018,5.8,14.0,6.7,2.2
2,3.08,0.69,0.0,1.018,12.6,17.7,8.9,-1.4
0,3.09,0.58,0.0,1.018,12.6,20.9,11.2,1.3
3,2.8,0.53,0.0,1.018,9.9,20.4,14.0,2.5
4,2.75,0.54,0.0,1.018,9.4,21.5,14.1,2.4
1,3.15,0.52,0.0,1.018,12.8,23.6,15.1,3.0
1,3.18,0.54,0.0,1.018,13.0,24.2,15.5,2.8
7,2.89,0.68,0.17,1.018,10.3,25.1,15.5,5.2
3,3.02,0.71,0.0,1.018,11.4,25.6,16.2,7.7
7,2.26,0.73,0.0,1.018,5.5,23.1,16.7,8.8
5,2.19,0.71,0.0,1.018,5.0,25.6,19.0,11.9
7,2.6,0.74,0.59,1.018,7.7,26.9,18.5,12.0
5,2.11,0.8,0.56,1.018,4.4,24.9,18.1,12.0
5,2.32,0.78,0.26,1.018,5.7,27.2,18.3,10.8
3,2.71,0.78,0.87,1.018,8.4,26.4,17.8,11.7
1,3.31,0.78,0.0,1.018,13.4,25.8,18.1,10.8
6,1.55,0.88,0.95,1.018,1.6,21.6,15.7,11.0
6,2.51,0.81,1.26,1.018,6.8,20.4,14.7,10.2
6,2.74,0.78,0.12,1.018,8.4,21.5,14.3,9.2
8,2.16,0.75,1.12,1.018,4.5,20.3,14.7,11.9
8,0.97,0.92,0.09,1.018,0.1,16.4,12.3,10.4
5,2.71,0.76,0.06,1.018,8.0,22.4,15.1,8.9
