BELGRADE_cloud_cover,BELGRADE_global_radiation,BELGRADE_humidity,BELGRADE_precipitation,BELGRADE_pressure,BELGRADE_sunshine,BELGRADE_temp_max,BELGRADE_temp_mean,BELGRADE_temp_min
1,0.88,0.81,0.0,1.0195,7.0,7.9,3.7,-0.9
6,0.25,0.84,0.0,1.0172,0.0,4.4,2.9,2.2
6,0.67,0.77,0.0,1.0179,3.5,6.4,3.1,-0.5
8,0.25,0.93,0.0,1.0268,0.0,3.0,2.0,-2.0
8,0.25,0.99,0.06,1.0286,0.0,2.8,2.0,0.7
8,0.61,0.84,0.64,1.0179,2.5,4.6,1.5,0.3
8,0.25,0.92,0.35,1.0141,0.0,3.6,1.9,0.0
6,0.26,0.93,0.14,1.0149,0.0,2.2,0.6,-0.2
8,0.49,0.71,0.46,1.0082,1.2,4.6,3.2,-1.8
8,0.26,0.92,0.02,1.0136,0.0,4.3,-4.4,-5.5
7,0.32,0.83,0.0,1.0116,0.1,-4.1,-5.5,-7.6
8,0.26,0.86,0.75,0.9969,0.0,-0.8,-3.5,-5.7
8,0.27,0.84,0.17,1.0009,0.0,-3.6,-4.8,-6.6
3,0.27,0.9,0.11,1.011,0.0,-4.5,-7.9,-10.1
1,0.5,0.91,0.0,1.0162,1.1,-2.9,-6.9,-11.1
8,0.27,0.91,0.05,1.0136,0.0,-7.1,-8.3,-8.8
8,0.28,0.94,1.29,1.0157,0.0,-5.0,-5.7,-8.6
8,0.28,0.94,0.07,1.0113,0.0,-4.5,-4.9,-6.4
0,0.98,0.74,0.0,1.0208,6.9,2.9,-2.3,-7.3
5,0.88,0.65,0.2,1.0183,5.1,8.0,2.5,-6.5
0,0.91,0.8,0.0,1.0223,5.4,4.2,-0.1,-2.6
2,1.05,0.79,0.0,1.0312,7.5,1.2,-3.9,-6.2
1,1.07,0.81,0.0,1.0301,7.6,-0.6,-5.2,-10.1
0,1.01,0.78,0.0,1.0277,6.6,1.5,-1.8,-9.1
4,0.78,0.72,0.0,1.0232,3.3,4.0,1.9,-3.7
6,0.96,0.63,0.0,1.0216,5.5,10.0,7.4,1.9
5,1.01,0.62,0.0,1.0209,6.1,14.3,9.6,5.5
6,0.69,0.55,0.0,1.0193,2.1,15.3,12.2,7.3
5,0.52,0.49,0.0,1.019,0.7,17.4,12.9,8.9
5,0.63,0.89,0.27,1.0294,1.4,12.7,2.3,0.8
7,0.95,0.8,0.0,1.0276,4.7,5.5,0.6,-1.3
3,1.11,0.59,0.0,1.0341,6.7,-0.6,-5.2,-6.7
0,1.18,0.7,0.0,1.0373,7.6,-5.4,-8.5,-11.9
1,1.09,0.7,0.0,1.0341,6.1,-2.9,-7.1,-11.4
1,1.13,0.75,0.0,1.0288,6.5,-2.9,-8.1,-11.5
1,1.26,0.63,0.0,1.0267,8.2,-5.0,-7.9,-10.1
7,0.89,0.66,0.0,1.0296,3.3,-4.0,-6.6,-8.6
8,0.6,0.67,0.0,1.0367,0.8,-5.8,-7.4,-8.3
5,0.58,0.67,0.0,1.0387,0.7,-3.7,-6.0,-8.3
3,0.87,0.7,0.0,1.0337,2.8,-0.6,-4.6,-10.1
6,0.84,0.76,0.16,1.017,2.4,-0.2,-3.2,-6.4
4,1.17,0.78,0.0,1.0133,5.8,7.9,3.6,-2.8
6,0.45,0.59,0.0,1.0052,0.1,8.9,6.9,2.6
3,1.35,0.6,0.15,1.006,7.7,15.3,10.4,3.9
6,1.14,0.6,0.0,1.0048,5.0,17.0,9.9,6.5
8,0.4,0.94,0.24,1.0072,0.0,7.0,2.9,2.1
6,0.4,0.9,0.0,1.0097,0.0,4.5,1.7,0.4
8,0.52,0.7,0.82,1.0026,0.2,10.0,6.8,-0.4
6,0.41,0.87,0.03,1.0008,0.0,10.5,8.1,6.0
7,0.5,0.64,0.17,1.0049,0.1,16.2,13.6,7.7
8,0.42,0.89,0.19,1.0137,0.0,13.0,6.2,5.4
8,0.43,0.9,0.04,1.0169,0.0,7.3,6.1,4.3
8,1.21,0.77,0.25,1.013,4.6,13.7,9.8,3.5
7,0.76,0.77,0.13,1.0026,1.0,15.4,10.6,8.3
4,1.19,0.7,0.0,1.0113,4.1,11.7,8.3,5.9
2,1.57,0.68,0.18,1.0143,8.1,13.8,7.9,1.5
7,0.7,0.84,0.16,1.0139,0.6,12.7,8.2,6.3
3,1.3,0.81,0.0,1.0255,4.8,6.9,3.6,2.1
7,0.56,0.84,0.0,1.0281,0.1,9.0,5.1,-0.4
5,1.54,0.65,0.0,1.0159,6.9,18.4,12.4,5.7
8,0.44,0.93,0.02,1.0117,0.0,11.4,7.0,3.6
8,0.45,0.91,0.12,1.0144,0.0,7.7,6.6,5.4
8,0.45,0.89,0.11,1.0159,0.0,7.0,4.8,4.4
6,0.89,0.86,0.0,1.0168,1.6,8.4,4.5,3.0
7,0.46,0.87,0.08,1.0209,0.0,6.5,2.4,0.8
6,1.51,0.69,0.0,1.0235,6.2,2.9,-0.5,-2.0
6,1.68,0.66,0.0,1.0217,7.7,2.9,-1.0,-3.4
8,0.91,0.71,0.0,1.019,1.5,0.8,-1.9,-3.9
2,1.86,0.61,0.0,1.0197,9.2,3.2,-1.3,-3.0
4,1.55,0.57,0.0,1.0189,6.0,5.8,1.1,-3.0
7,0.99,0.45,0.0,1.018,1.8,7.5,4.2,-0.2
5,1.37,0.58,0.0,1.0143,4.3,8.5,4.8,2.0
5,0.99,0.68,0.0,1.0144,1.7,10.4,4.7,2.8
3,2.01,0.64,0.0,1.0109,9.8,15.8,7.9,2.5
6,1.56,0.53,0.0,1.0107,5.5,19.6,12.9,5.6
6,0.53,0.56,0.0,1.0075,0.0,17.1,13.1,11.0
4,1.23,0.58,0.06,1.0059,2.9,19.1,13.4,11.2
7,0.54,0.81,0.31,1.0144,0.0,11.5,6.0,3.8
