MADRID_cloud_cover,MADRID_global_radiation,MADRID_humidity,MADRID_precipitation,MADRID_pressure,MADRID_sunshine,MADRID_temp_max,MADRID_temp_mean,MADRID_temp_min
6,0.53,0.92,0.0,1.026,1.4,10.8,7.6,4.4
7,0.46,0.86,0.0,1.0254,0.9,12.2,9.8,7.4
5,0.63,0.9,0.0,1.0287,2.3,10.8,8.6,6.4
0,1.16,0.75,0.0,1.0281,8.7,16.1,10.3,4.5
2,1.1,0.64,0.0,1.0269,7.8,16.0,12.1,8.2
4,1.0,0.74,0.0,1.0232,6.4,14.2,10.1,6.0
6,0.69,0.82,0.0,1.0192,2.8,10.0,7.8,5.6
8,0.3,0.77,0.0,1.0137,0.0,8.8,7.6,6.4
5,0.94,0.69,0.0,1.0075,5.4,10.0,7.4,4.8
8,0.3,0.79,0.98,1.0019,0.0,5.2,2.7,0.2
8,0.74,0.81,0.0,1.0049,3.1,0.4,-2.3,-5.0
1,1.18,0.63,0.0,1.0195,8.3,6.0,0.5,-5.0
4,1.17,0.7,0.0,1.0198,8.1,8.2,5.6,3.0
6,0.93,0.76,0.12,1.0094,5.0,7.6,2.8,-2.0
4,1.12,0.5,0.0,1.015,7.2,4.5,0.5,-3.5
3,0.87,0.48,0.0,1.0172,4.2,3.1,0.0,-3.1
5,1.0,0.56,0.0,1.023,5.6,6.4,2.2,-2.0
6,0.59,0.72,0.16,1.0247,1.5,4.3,0.9,-2.5
7,0.51,0.92,0.0,1.0237,0.9,9.6,5.7,1.8
8,0.32,0.9,0.02,1.0328,0.0,6.4,5.5,4.6
8,0.33,0.88,0.0,1.0312,0.0,5.2,3.9,2.6
7,0.37,0.92,0.03,1.0292,0.1,5.0,3.5,2.0
8,0.73,0.86,0.21,1.0249,2.4,10.4,6.2,2.0
7,0.45,0.9,0.73,1.0151,0.4,11.9,9.9,7.9
7,0.34,0.88,0.61,1.0187,0.0,9.2,7.3,5.4
8,0.34,0.93,2.93,1.0082,0.0,9.6,8.0,6.4
8,0.44,0.91,0.62,1.0047,0.3,9.0,7.6,6.2
7,0.77,0.86,0.03,1.0142,2.5,9.8,7.4,5.0
4,1.33,0.66,0.0,1.0263,8.3,10.0,7.0,4.0
0,1.37,0.62,0.0,1.0307,8.6,8.5,4.5,0.5
3,1.34,0.82,0.0,1.0301,8.1,8.5,4.5,0.5
1,1.36,0.83,0.0,1.0333,8.2,9.6,4.9,0.2
8,0.65,0.84,0.0,1.0335,1.3,7.0,4.0,1.0
8,0.57,0.88,0.0,1.0278,0.8,8.0,4.6,1.2
8,0.52,0.84,0.0,1.0267,0.5,8.4,6.1,3.8
8,0.38,0.9,0.97,1.023,0.0,7.1,5.8,4.5
6,0.38,0.88,0.1,1.0189,0.0,9.4,6.5,3.6
1,1.49,0.55,0.0,1.0221,8.8,7.3,4.1,0.9
7,0.99,0.62,0.0,1.0204,3.6,3.1,1.0,-1.1
